County,State,Total,Low Food Access (10 Miles),Low-Income Population 10 miles,Seniors,Household Vehicle Access
Dallas County,Arkansas,8116,2605,1217,494,111
Desha County,Arkansas,13008,1183,616,228,32
Drew County,Arkansas,18509,1747,789,272,52
Faulkner County,Arkansas,113237,1480,499,191,6
Franklin County,Arkansas,18125,847,342,109,6
Fulton County,Arkansas,12245,1703,726,320,23
Garland County,Arkansas,96024,2499,946,364,25
Grant County,Arkansas,17853,1994,679,284,17
Greene County,Arkansas,42090,1863,543,300,10
Hempstead County,Arkansas,22609,3101,1302,526,52
Hot Spring County,Arkansas,32923,4369,1660,721,105
Howard County,Arkansas,13789,3443,1565,592,65
Independence County,Arkansas,36647,2439,1014,387,19
Izard County,Arkansas,13696,126,44,27,2
Jackson County,Arkansas,17997,821,417,156,7
Jefferson County,Arkansas,77435,2255,1306,388,106
Johnson County,Arkansas,25540,2198,1138,404,42
Lafayette County,Arkansas,7645,1609,868,284,88
Lawrence County,Arkansas,17415,4196,1740,755,54
Lee County,Arkansas,10424,3125,1425,307,43
Lincoln County,Arkansas,14134,4695,2474,236,68
Little River County,Arkansas,13171,406,130,79,6
Logan County,Arkansas,22353,1505,714,230,7
Lonoke County,Arkansas,68356,938,345,156,15
Madison County,Arkansas,15717,4110,1727,708,86
Marion County,Arkansas,16653,1671,534,364,38
Miller County,Arkansas,43462,801,352,183,13
Mississippi County,Arkansas,46480,100,49,14,2
Monroe County,Arkansas,8149,689,270,154,4
Montgomery County,Arkansas,9487,2187,999,472,51
Nevada County,Arkansas,8997,2346,1154,461,40
Newton County,Arkansas,8330,2405,946,505,61
Ouachita County,Arkansas,26120,4903,2248,841,201
Perry County,Arkansas,10445,1490,555,281,32
Phillips County,Arkansas,21757,4877,2551,896,272
Pike County,Arkansas,11291,2604,1058,521,53
Poinsett County,Arkansas,24583,1570,624,280,24
Polk County,Arkansas,20662,6680,3501,1037,141
Pope County,Arkansas,61754,1595,631,261,22
Prairie County,Arkansas,8715,388,187,70,5
Pulaski County,Arkansas,382748,581,97,87,2
Randolph County,Arkansas,17969,2486,1433,457,62
Saline County,Arkansas,107118,2621,501,844,5
Scott County,Arkansas,11233,1824,945,379,35
Searcy County,Arkansas,8195,2693,1200,534,73
Sebastian County,Arkansas,125744,288,128,45,3
Sevier County,Arkansas,17058,2624,1021,424,27
Sharp County,Arkansas,17264,1311,792,254,6
St. Francis County,Arkansas,28258,3206,1684,464,248
Stone County,Arkansas,12394,3097,1344,579,88
Union County,Arkansas,41639,3978,1630,665,29
Van Buren County,Arkansas,17295,1799,1164,351,35
Washington County,Arkansas,203065,1437,611,231,16
White County,Arkansas,77076,4690,1695,669,79
Woodruff County,Arkansas,7260,486,234,97,20
Yell County,Arkansas,22185,2299,1221,469,26
Alameda County,California,1510271,121,14,19,2
Alpine County,California,1175,669,197,104,19
Amador County,California,38091,66,36,13,1
Butte County,California,220000,1163,448,203,15
Calaveras County,California,45578,95,26,12,3
Colusa County,California,21419,6384,2201,761,111
Contra Costa County,California,1049025,0,0,0,0
Del Norte County,California,28610,2943,1540,480,130
El Dorado County,California,181058,207,45,31,0
Fresno County,California,930450,6748,2515,905,92
Glenn County,California,28122,1420,518,218,28
Humboldt County,California,134623,4858,2183,690,106
Imperial County,California,174528,11817,5651,1532,134
Inyo County,California,18546,4225,1157,824,90
Kern County,California,839631,31000,14645,3697,939
Kings County,California,152982,99,76,14,0
Lake County,California,64665,84,47,14,1
Lassen County,California,34895,9891,2929,1351,99
Los Angeles County,California,9818605,3798,1293,470,27
Madera County,California,150865,594,205,78,1
Marin County,California,252409,643,135,133,6
Mariposa County,California,18251,1473,477,291,41
Mendocino County,California,87841,3428,1536,455,44
Merced County,California,255793,1489,654,176,24
Modoc County,California,9686,3486,1449,818,15
Mono County,California,14202,5711,1661,814,68
Monterey County,California,415057,5822,2121,701,35
Napa County,California,136484,954,145,110,4
Nevada County,California,98764,523,85,72,9
Orange County,California,3010232,0,0,0,0
Placer County,California,348432,1231,369,184,23
Plumas County,California,20007,1261,215,277,9
Riverside County,California,2189641,10619,1245,1112,30
Sacramento County,California,1418788,1706,639,255,7
San Benito County,California,55269,692,250,117,5
San Bernardino County,California,2035210,19505,9422,1885,331
San Diego County,California,3095313,9944,3363,1692,83
San Francisco County,California,805235,0,0,0,0
San Joaquin County,California,685306,231,91,45,3
San Luis Obispo County,California,269637,4012,1362,529,51
San Mateo County,California,718451,1432,416,165,20
Santa Barbara County,California,423895,3034,905,372,26
Santa Clara County,California,1781642,246,25,47,2
Santa Cruz County,California,262382,14,4,1,0
Shasta County,California,177223,4098,1662,873,47
Sierra County,California,3240,2859,804,594,57
Siskiyou County,California,44900,6294,3035,1352,135
Solano County,California,413344,60,14,6,0
Sonoma County,California,483878,2069,496,520,46
Stanislaus County,California,514453,615,204,93,1
Sutter County,California,94737,1342,527,207,26
Tehama County,California,63463,3423,1824,706,75
Trinity County,California,13786,2428,1058,542,54
Tulare County,California,442179,3750,2089,538,46
Tuolumne County,California,55365,584,280,114,0
Ventura County,California,823318,327,46,45,5
Yolo County,California,200849,6416,2719,908,150
Yuba County,California,72155,281,70,45,4
Adams County,Colorado,441603,1215,348,91,11
Alamosa County,Colorado,15445,745,279,110,12
Arapahoe County,Colorado,572003,1044,292,129,5
Archuleta County,Colorado,12084,989,269,216,6
Baca County,Colorado,3788,956,390,197,7
Bent County,Colorado,6499,808,333,136,9
Boulder County,Colorado,294567,604,121,110,3
Broomfield County,Colorado,55889,0,0,0,0
Chaffee County,Colorado,17809,802,228,261,7
Cheyenne County,Colorado,1836,622,164,106,3
Clear Creek County,Colorado,9088,1116,255,151,10
Conejos County,Colorado,8256,466,269,87,5
Costilla County,Colorado,3524,3524,2043,807,137
Crowley County,Colorado,5823,107,33,26,2
Custer County,Colorado,4255,1036,268,238,6
Delta County,Colorado,30952,362,90,62,2
Denver County,Colorado,600158,0,0,0,0
Dolores County,Colorado,2064,2064,770,388,14
Douglas County,Colorado,285465,1792,197,348,18
Eagle County,Colorado,52197,571,117,68,2
El Paso County,Colorado,622263,12468,3136,1331,106
Elbert County,Colorado,23086,6106,1619,704,59
Fremont County,Colorado,46824,3234,1295,815,45
Garfield County,Colorado,56389,504,114,51,2
Gilpin County,Colorado,5441,0,0,0,0
Grand County,Colorado,14843,419,38,40,1
Gunnison County,Colorado,15324,1357,393,231,3
Hinsdale County,Colorado,843,99,34,19,1
Huerfano County,Colorado,6711,2303,723,559,15
Jackson County,Colorado,1394,381,115,83,2
Jefferson County,Colorado,534543,244,11,48,0
Kiowa County,Colorado,1398,1398,498,300,30
Kit Carson County,Colorado,8270,2167,773,372,16
La Plata County,Colorado,51334,3403,869,450,30
Lake County,Colorado,7310,269,114,63,0
Larimer County,Colorado,299630,3971,828,837,34
Las Animas County,Colorado,15507,3914,1525,793,48
Lincoln County,Colorado,5467,1254,420,277,16
Logan County,Colorado,22709,3443,945,523,45
Mesa County,Colorado,146723,5153,1363,766,9
Mineral County,Colorado,712,91,24,25,1
Moffat County,Colorado,13795,1234,557,212,8
Montezuma County,Colorado,25535,2666,1381,243,35
Montrose County,Colorado,41276,1398,527,276,15
Morgan County,Colorado,28159,884,249,127,3
Otero County,Colorado,18831,205,82,31,6
Ouray County,Colorado,4436,235,47,46,3
Park County,Colorado,16206,8732,1761,1147,89
Phillips County,Colorado,4442,207,73,35,6
Pitkin County,Colorado,17148,598,109,103,0
Prowers County,Colorado,12551,2495,1131,427,16
Pueblo County,Colorado,159063,3531,926,661,32
Rio Blanco County,Colorado,6666,573,138,93,0
Rio Grande County,Colorado,11982,1350,394,313,15
Routt County,Colorado,23509,1728,376,193,2
Saguache County,Colorado,6108,2067,960,384,95
San Juan County,Colorado,699,694,203,86,26
San Miguel County,Colorado,7359,719,148,64,0
Sedgwick County,Colorado,2379,442,120,101,8
Summit County,Colorado,27994,352,23,31,0
Teller County,Colorado,23350,174,29,34,0
Washington County,Colorado,4814,2485,672,437,23
Weld County,Colorado,252825,4592,1215,583,49
Yuma County,Colorado,10043,2300,583,324,16
Fairfield County,Connecticut,916829,0,0,0,0
Hartford County,Connecticut,894014,0,0,0,0
Litchfield County,Connecticut,189927,0,0,0,0
Middlesex County,Connecticut,165676,0,0,0,0
New Haven County,Connecticut,862477,0,0,0,0
New London County,Connecticut,274055,0,0,0,0
Tolland County,Connecticut,152691,0,0,0,0
Windham County,Connecticut,118428,130,15,17,2
Kent County,Delaware,162310,0,0,0,0
New Castle County,Delaware,538479,0,0,0,0
Sussex County,Delaware,197145,0,0,0,0
District of Columbia,District of Columbia,601723,0,0,0,0
Alachua County,Florida,247336,586,219,114,16
Baker County,Florida,27115,4609,1941,356,0
Bay County,Florida,168852,3033,763,457,45
Bradford County,Florida,28520,302,107,55,4
Brevard County,Florida,543376,211,55,31,4
Broward County,Florida,1748066,0,0,0,0
Calhoun County,Florida,14625,801,489,148,26
Charlotte County,Florida,159978,574,160,172,4
Citrus County,Florida,141236,0,0,0,0
Clay County,Florida,190865,1441,578,143,9
Collier County,Florida,321520,1873,957,535,6
Columbia County,Florida,67531,4371,1707,630,58
DeSoto County,Florida,34862,742,450,60,3
Dixie County,Florida,16422,1412,494,403,30
Duval County,Florida,864263,0,0,0,0
Escambia County,Florida,297619,1678,506,272,23
Flagler County,Florida,95696,124,34,31,0
Franklin County,Florida,11549,377,78,122,0
Gadsden County,Florida,46389,1109,785,141,27
Gilchrist County,Florida,16939,20,12,6,0
Glades County,Florida,12884,7244,3082,1363,153
Gulf County,Florida,15863,1264,300,237,10
Hamilton County,Florida,14799,2758,1408,504,90
Hardee County,Florida,27731,2751,874,408,25
Hendry County,Florida,39140,2346,1158,66,2
Hernando County,Florida,172778,1,1,0,0
Highlands County,Florida,98786,2546,1079,719,80
Hillsborough County,Florida,1229226,107,33,16,2
Holmes County,Florida,19927,2331,1228,376,31
Indian River County,Florida,138028,63,48,14,3
Jackson County,Florida,49746,1742,834,329,40
Jefferson County,Florida,14761,2401,857,393,18
Lafayette County,Florida,8870,697,404,124,3
Lake County,Florida,297052,2992,1634,682,62
Lee County,Florida,618754,41,14,6,0
Leon County,Florida,275487,1962,724,263,20
Levy County,Florida,40801,2289,1073,520,32
Liberty County,Florida,8365,2168,842,271,16
Madison County,Florida,19224,3991,2227,701,121
Manatee County,Florida,322833,4095,981,349,17
Marion County,Florida,331298,3686,1829,730,147
Martin County,Florida,146318,674,380,100,8
Miami-Dade County,Florida,2496435,462,199,11,9
Monroe County,Florida,73090,2900,607,594,35
Nassau County,Florida,73314,6,1,1,0
Okaloosa County,Florida,180822,1290,514,196,44
Okeechobee County,Florida,39996,5414,3333,593,33
Orange County,Florida,1145956,54,11,5,0
Osceola County,Florida,268685,2973,1271,395,17
Palm Beach County,Florida,1320134,32,11,3,0
Pasco County,Florida,464697,5,3,3,0
Pinellas County,Florida,916542,0,0,0,0
Polk County,Florida,602095,5062,1689,963,49
Putnam County,Florida,74364,1223,550,194,9
Santa Rosa County,Florida,151372,2360,722,347,64
Sarasota County,Florida,379448,2,0,0,0
Seminole County,Florida,422718,0,0,0,0
St. Johns County,Florida,190039,1494,756,196,34
St. Lucie County,Florida,277789,159,47,15,0
Sumter County,Florida,93420,106,48,14,1
Suwannee County,Florida,41551,4984,2234,1591,309
Taylor County,Florida,22570,3759,1794,957,54
Union County,Florida,15535,1409,677,162,29
Volusia County,Florida,494593,4675,2358,729,21
Wakulla County,Florida,30776,3278,996,721,60
Walton County,Florida,55043,4587,1838,738,104
Washington County,Florida,24896,10142,5406,1301,99
Appling County,Georgia,18236,2414,703,388,45
Atkinson County,Georgia,8375,1968,1252,246,70
Bacon County,Georgia,11096,368,145,52,1
Baker County,Georgia,3451,2114,968,331,58
Baldwin County,Georgia,45720,62,21,11,3
Banks County,Georgia,18395,326,160,49,7
Barrow County,Georgia,69367,0,0,0,0
Bartow County,Georgia,100157,0,0,0,0
Ben Hill County,Georgia,17634,372,144,83,10
Berrien County,Georgia,19286,3858,2005,504,100
Bibb County,Georgia,155547,0,0,0,0
Bleckley County,Georgia,13063,311,144,47,2
Brantley County,Georgia,18411,800,488,131,8
Brooks County,Georgia,16243,1013,446,203,21
Bryan County,Georgia,30233,414,61,53,0
Bulloch County,Georgia,70217,62,23,9,0
Burke County,Georgia,23316,1863,814,273,48
Butts County,Georgia,23655,2,1,0,0
Calhoun County,Georgia,6694,921,422,134,43
Camden County,Georgia,50513,3318,1392,438,78
Candler County,Georgia,10998,71,43,9,5
Carroll County,Georgia,110527,0,0,0,0
Catoosa County,Georgia,63942,0,0,0,0
Charlton County,Georgia,12171,885,384,123,13
Chatham County,Georgia,265128,1,0,0,0
Chattahoochee County,Georgia,11267,2925,1493,386,124
Chattooga County,Georgia,26015,84,31,14,1
Cherokee County,Georgia,214346,0,0,0,0
Clarke County,Georgia,116714,0,0,0,0
Clay County,Georgia,3183,59,35,15,3
Clayton County,Georgia,259424,0,0,0,0
Clinch County,Georgia,6798,527,350,87,9
Cobb County,Georgia,688078,0,0,0,0
Coffee County,Georgia,42356,3064,1197,394,65
Colquitt County,Georgia,45498,2597,1242,361,13
Columbia County,Georgia,124053,1262,490,242,1
Cook County,Georgia,17212,282,134,62,7
Coweta County,Georgia,127317,34,9,5,0
Crawford County,Georgia,12630,5120,2077,742,156
Crisp County,Georgia,23439,83,39,8,0
Dade County,Georgia,16633,0,0,0,0
Dawson County,Georgia,22330,192,58,15,3
DeKalb County,Georgia,691893,0,0,0,0
Decatur County,Georgia,27842,1863,840,318,39
Dodge County,Georgia,21796,74,34,13,2
Dooly County,Georgia,14918,86,45,19,4
Dougherty County,Georgia,94565,32,11,6,1
Douglas County,Georgia,132403,6,1,0,0
Early County,Georgia,11008,633,286,135,21
Echols County,Georgia,4034,1926,739,227,17
Effingham County,Georgia,52250,1507,343,197,0
Elbert County,Georgia,20166,806,241,141,31
Emanuel County,Georgia,22598,2874,1505,383,102
Evans County,Georgia,11000,0,0,0,0
Fannin County,Georgia,23682,527,98,134,3
Fayette County,Georgia,106567,0,0,0,0
Floyd County,Georgia,96317,61,10,5,0
Forsyth County,Georgia,175511,0,0,0,0
Franklin County,Georgia,22084,0,0,0,0
Fulton County,Georgia,920581,0,0,0,0
Gilmer County,Georgia,28292,884,368,166,10
Glascock County,Georgia,3082,2147,855,371,52
Glynn County,Georgia,79626,226,124,18,0
Gordon County,Georgia,55186,394,149,35,0
Grady County,Georgia,25011,1031,345,190,13
Greene County,Georgia,15994,845,396,142,50
Gwinnett County,Georgia,805321,0,0,0,0
Habersham County,Georgia,43041,149,37,36,4
Hall County,Georgia,179684,0,0,0,0
Hancock County,Georgia,9429,615,303,108,11
Haralson County,Georgia,28780,9,4,2,0
Harris County,Georgia,32024,411,108,55,1
Hart County,Georgia,25213,0,0,0,0
Heard County,Georgia,11834,433,132,64,3
Henry County,Georgia,203922,0,0,0,0
Houston County,Georgia,139900,0,0,0,0
Irwin County,Georgia,9538,584,270,94,11
Jackson County,Georgia,60485,0,0,0,0
Jasper County,Georgia,13900,393,157,62,4
Jeff Davis County,Georgia,15068,1208,620,186,13
Jefferson County,Georgia,16930,126,54,17,2
Jenkins County,Georgia,8340,79,48,17,2
Johnson County,Georgia,9980,2226,1103,399,56
Jones County,Georgia,28669,271,121,38,4
Lamar County,Georgia,18317,0,0,0,0
Lanier County,Georgia,10078,69,24,10,1
Laurens County,Georgia,48434,1522,622,263,19
Lee County,Georgia,28298,16,6,1,0
Liberty County,Georgia,63453,385,119,70,12
Lincoln County,Georgia,7996,448,151,125,6
Long County,Georgia,14464,108,38,11,2
Lowndes County,Georgia,109233,83,29,10,1
Lumpkin County,Georgia,29966,224,78,38,2
Macon County,Georgia,14740,63,33,11,3
Madison County,Georgia,28120,656,423,103,19
Marion County,Georgia,8742,0,0,0,0
McDuffie County,Georgia,21875,173,37,43,4
McIntosh County,Georgia,14333,413,94,111,8
Meriwether County,Georgia,21992,721,268,86,29
Miller County,Georgia,6125,25,8,10,1
Mitchell County,Georgia,23498,350,132,59,31
Monroe County,Georgia,26424,908,378,160,14
Montgomery County,Georgia,9123,1109,367,195,9
Morgan County,Georgia,17868,542,123,94,1
Murray County,Georgia,39628,651,260,92,12
Muscogee County,Georgia,189885,41,5,9,0
Newton County,Georgia,99958,1097,565,111,11
Oconee County,Georgia,32808,505,70,48,1
Oglethorpe County,Georgia,14899,777,373,139,10
Paulding County,Georgia,142324,0,0,0,0
Peach County,Georgia,27695,0,0,0,0
Pickens County,Georgia,29431,0,0,0,0
Pierce County,Georgia,18758,1667,640,236,30
Pike County,Georgia,17869,4,1,0,0
Polk County,Georgia,41475,13,6,1,0
Pulaski County,Georgia,12010,441,194,73,11
Putnam County,Georgia,21218,257,157,81,5
Quitman County,Georgia,2513,77,35,26,4
Rabun County,Georgia,16276,96,15,22,0
Randolph County,Georgia,7719,321,196,59,31
Richmond County,Georgia,200549,0,0,0,0
Rockdale County,Georgia,85215,0,0,0,0
Schley County,Georgia,5010,25,14,6,1
Screven County,Georgia,14593,3062,1423,446,93
Seminole County,Georgia,8729,605,204,125,15
Spalding County,Georgia,64073,0,0,0,0
Stephens County,Georgia,26175,0,0,0,0
Stewart County,Georgia,6058,1125,706,223,23
Sumter County,Georgia,32819,154,68,17,4
Talbot County,Georgia,6865,1960,1103,329,122
Taliaferro County,Georgia,1717,1569,814,318,84
Tattnall County,Georgia,25520,599,239,108,11
Taylor County,Georgia,8906,374,195,30,1
Telfair County,Georgia,16500,1215,514,192,6
Terrell County,Georgia,9315,103,39,19,2
Thomas County,Georgia,44720,702,262,111,12
Tift County,Georgia,40118,0,0,0,0
Toombs County,Georgia,27223,2072,892,260,5
Towns County,Georgia,10471,1,1,0,0
Treutlen County,Georgia,6885,149,82,23,3
Troup County,Georgia,67044,1,0,0,0
Turner County,Georgia,8930,172,61,35,1
Twiggs County,Georgia,9023,5,3,1,0
Union County,Georgia,21356,789,359,213,24
Upson County,Georgia,27153,514,260,83,27
Walker County,Georgia,68756,186,63,32,4
Walton County,Georgia,83768,0,0,0,0
Ware County,Georgia,36312,2605,1234,377,55
Warren County,Georgia,5834,122,72,22,4
Washington County,Georgia,21187,3934,1656,436,40
Wayne County,Georgia,30099,4135,1698,599,86
Webster County,Georgia,2799,57,31,6,1
Wheeler County,Georgia,7421,345,235,50,17
White County,Georgia,27144,0,0,0,0
Whitfield County,Georgia,102599,0,0,0,0
Wilcox County,Georgia,9255,918,474,187,13
Wilkes County,Georgia,10593,1510,721,309,73
Wilkinson County,Georgia,9563,2089,1092,389,61
Worth County,Georgia,21679,698,225,112,0
Hawaii County,Hawaii,185079,9291,3455,1409,189
Honolulu County,Hawaii,953207,0,0,0,0
Kalawao County,Hawaii,90,0,0,0,0
Kauai County,Hawaii,67091,183,5,14,1
Maui County,Hawaii,154834,1904,962,226,36
Ada County,Idaho,392365,210,45,23,1
Adams County,Idaho,3976,1014,342,233,11
Bannock County,Idaho,82839,3965,1281,652,50
Bear Lake County,Idaho,5986,1549,363,324,15
Benewah County,Idaho,9285,2165,858,414,46
Bingham County,Idaho,45607,1909,930,206,3
Blaine County,Idaho,21376,1693,605,201,18
Boise County,Idaho,7028,3341,973,470,60
Bonner County,Idaho,40877,3351,1196,696,41
Bonneville County,Idaho,104234,1150,318,240,7
Boundary County,Idaho,10972,1429,399,241,5
Butte County,Idaho,2891,605,221,74,6
Camas County,Idaho,1117,1117,497,178,4
Canyon County,Idaho,188923,1234,507,130,8
Caribou County,Idaho,6963,375,96,66,6
Cassia County,Idaho,22952,4490,1972,566,6
Clark County,Idaho,982,982,498,129,5
Clearwater County,Idaho,8761,687,301,157,4
Custer County,Idaho,4368,940,362,170,2
Elmore County,Idaho,27038,4022,2060,645,104
Franklin County,Idaho,12786,919,167,138,1
Fremont County,Idaho,13242,1238,372,326,7
Gem County,Idaho,16719,826,307,171,1
Gooding County,Idaho,15464,125,47,16,1
Idaho County,Idaho,16267,2890,1339,759,53
Jefferson County,Idaho,26140,3670,1458,360,12
Jerome County,Idaho,22374,2045,1076,226,15
Kootenai County,Idaho,138494,1577,431,289,16
Latah County,Idaho,37244,1993,621,345,31
Lemhi County,Idaho,7936,2024,934,499,16
Lewis County,Idaho,3821,1835,623,361,24
Lincoln County,Idaho,5208,5074,2176,559,17
Madison County,Idaho,37536,89,32,2,0
Minidoka County,Idaho,20069,941,370,98,0
Nez Perce County,Idaho,39265,1123,322,244,18
Oneida County,Idaho,4286,578,227,88,0
Owyhee County,Idaho,11526,3167,1197,514,40
Payette County,Idaho,22623,108,22,13,4
Power County,Idaho,7817,988,460,130,6
Shoshone County,Idaho,12765,504,182,137,15
Teton County,Idaho,10170,906,227,61,3
Twin Falls County,Idaho,77230,1593,692,178,9
Valley County,Idaho,9862,1838,745,298,4
Washington County,Idaho,10198,1724,677,437,18
Adams County,Illinois,67103,3563,851,615,42
Alexander County,Illinois,8238,948,365,108,4
Bond County,Illinois,17768,1091,339,156,19
Boone County,Illinois,54165,0,0,0,0
Brown County,Illinois,6937,147,35,29,1
Bureau County,Illinois,34978,5940,1698,1083,76
Calhoun County,Illinois,5089,731,268,152,30
Carroll County,Illinois,15387,935,286,197,23
Cass County,Illinois,13642,1488,397,247,17
Champaign County,Illinois,201081,222,51,38,2
Christian County,Illinois,34800,1712,313,266,13
Clark County,Illinois,16335,1251,317,224,24
